"Firma";"Website";"Bedarf";"DL Beschreibung";"Geschäftsführung";"Gefundene E-Mails";"GF-Mail (belegt/rekonstruiert)";"Hinweis"
"AI Superior GmbH";"https://aisuperior.com/";"Ja";"• End-to-end Entwicklung maßgeschneiderter KI-Software
• Lösungen in Computer Vision, NLP und Predictive Analytics
• LLM-Entwicklung und eigenes Produkt (AiSuperiorGPT), F&E";"Sergey Sukhanov; Ivan Tankoyeu";"info@aisuperior.com";"";"Imprint (/imprint, Represented by); Mail aus Cloudflare-Schutz dekodiert, nur info@"
"AI Techno Center GmbH";"https://www.ai-tc.de/";"Vielleicht";"• KI-Chatbots und Conversational Agents für Kundeninteraktion
• Autonome KI-Agenten und Voice-Agents zur Prozessautomatisierung
• Integration in bestehende CRM-/ERP-Systeme";"Svetlana Badak";"support@ai-tc.de";"";"Impressum; nur generische support@-Adresse"
"ai-omatic solutions GmbH";"https://www.ai-omatic.com/";"Ja";"• KI-gestützte Predictive-Maintenance-Software für Maschinen
• Anomalieerkennung aus Sensor- und Prozessdaten in Echtzeit
• Retrofit-Lösungen mit Sensorik (Plug & Play)";"Lena Weirauch";"info@ai-omatic.com";"";"Impressum (Vertreten durch); nur generische info@-Adresse"
"Ai.Worx UG";"https://aiworx.ai/";"Vielleicht";"• Automatisierung wiederkehrender Aufgaben für den Mittelstand
• Chatbots und Telefonassistenten für Customer Service
• Content-Erstellung (Video, Bild, Audio) und Datenanalyse-Reportings";"Maximilian Glas";"contact@aiworx.ai";"";"Impressum (/imprint); nur generische contact@-Adresse; laut Impressum Ai.Worx GmbH"
"AI2Connect GmbH";"https://ai2connect-do.com/";"Ja";"• Multi-Agenten-KI-Systeme für die Logistik
• AI2RampOptimizer: Verladeplanung per Reinforcement Learning
• AI2OrderAgent für automatisiertes Angebotsmanagement";"";"";"";"Impressum nicht erreichbar (SPA, kein Inhalt im Quelltext)"
"AiCentive GmbH";"https://aicentive.com/";"Vielleicht";"• Individuelle KI-Systeme und Softwareentwicklung
• RPA und Prozessautomatisierung für den Mittelstand
• Machine Learning und Integration selbstlernender Algorithmen";"";"mail@aicentive.com";"";"SPA; nur mail@aicentive.com im Quelltext belegt, GF nicht ermittelbar"
"aiconix GmbH";"https://www.aiconix.ai/";"Ja";"• KI-Analyse und Verarbeitung audiovisueller Inhalte
• Live-Transkription, Speech-to-Text und Gesichtserkennung
• DeepVA-Plattform (Computer Vision/ML) für Medien und Behörden";"";"";"";"Impressum nicht erreichbar (SPA, kein Inhalt im Quelltext)"
"aiio GmbH";"https://www.aiio.de/";"Vielleicht";"• Prozessmanagement-SaaS mit KI-Automatisierung
• Prozess-Staubsauger: Extraktion von Prozesswissen aus Dokumenten
• KI-Optimierungs-Agent (Agentic Process Intelligence)";"Dr. Christian Graup; Knut Köchli; Jobst von Heintze; Lars Bendler";"info@aiio.de";"";"Impressum (Vertretungsberechtigte); nur generische info@-Adresse"
"Brainsuite AI (aimpower GmbH)";"https://www.aimpower.ai/";"Ja";"• AI-Effectiveness-Plattform zur Vorhersage von Marketingwirkung
• Spezialisierte KI-Apps für TV, Social, OOH, Verpackung u.a.
• Neurowissenschaftliche Modelle (mit Caltech co-entwickelt)";"Peter Krause; Dr. Christian Scheier";"contact@brainsuite.ai";"";"Impressum/Legal Notice; nur generische contact@-Adresse (brainsuite.ai)"
"Ainovate GmbH";"https://www.ainovate.com/";"Ja";"• Data-Science- und KI-Beratung mit Strategie und Umsetzung
• Individuelle ML- und Deep-Learning-Modelle, Forecasting, Predictive Maintenance
• Eigenes Produkt 24Leads zur KI-gestützten Lead-Generierung";"Dr. Kay Stankov";"info@ainovate.com";"";"Impressum: GF Dr. Kay Stankov. Nur generische Mail info@ainovate.com belegt, kein persoenliches Muster."
"AITAD GmbH";"https://aitad.de/";"Ja";"• Embedded-AI und intelligente Sensorkomponenten
• Predictive Maintenance sowie Gesten-, Sprach- und Objekterkennung
• Full-Stack-Entwicklung serienreifer dezentraler KI-Hardware";"Viacheslav Gromov";"info@aitad.de";"";"Impressum: Vertreten durch Viacheslav Gromov. Nur info@aitad.de belegt."
"aiXbrain GmbH";"https://www.aixbrain.de/";"Ja";"• Entwicklung und Betrieb von KI-Agenten für Produktionsumgebungen
• MachineGPT für dialogbasierten Maschinenzugriff
• Dataray: domänenspezifische Modelle für Predictive Maintenance/Qualität";"Dr. Alexander Engels, Dr. Simon Goertzen";"kontakt@aixbrain.de";"";"Impressum: GF Dr. Alexander Engels und Dr. Simon Goertzen. Nur kontakt@aixbrain.de belegt."
"Aixioom Software Solutions GmbH";"https://www.aixioom.ai/";"Vielleicht";"• KI-Lösungen und KI-Beratung für Unternehmen
• Entwicklung und Implementierung von Software und Algorithmen
• Datengetriebene mathematisch-statistische Modelle zur Prozess-/Produktverbesserung
• Kleines IT-Dienstleister-Team (Großostheim, gegr. 2021)";"";"";"";"Seite leitet auf aixioom.de um; Impressum ist JS-gerendert, kein Inhalt (GF/Mail) via curl/WebFetch auslesbar."
"Aleph Alpha GmbH";"https://aleph-alpha.de/index.html?language=de";"Ja";"• Anbieter souveraener KI/LLMs fuer Unternehmen, Behoerden und Verteidigung
• Luminous-Sprachmodellfamilie und PhariaAI-Enterprise-Plattform
• On-Premise/EU-Rechenzentren, Fokus KRITIS und Datensouveraenitaet
• Erklaerbare, DSGVO-konforme KI made in Europe";"Reto Spoerri, Ilhan Scheer";"privacy@aleph-alpha.com";"";"Impressum unter aleph-alpha.com (Aleph Alpha GmbH, Heidelberg): Vertreten durch Reto Spoerri und Ilhan Scheer. Nur privacy@aleph-alpha.com belegt."
"Alexander Thamm GmbH";"https://www.alexanderthamm.com/de/";"Vielleicht";"• Inhabergefuehrte Beratung fuer Daten und Kuenstliche Intelligenz
• Data Strategy, Data Lab (ML/GenAI/Agentic AI), Data Factory, Data Ops
• Ueber 500 Mitarbeiter, 3.500+ Daten-/KI-Projekte
• Fokus MLOps, KI-Governance, EU AI Act, DAX-/Mittelstandskunden";"Alexander Thamm";"contact@alexanderthamm.com";"";"Impressum: vertreten durch den Geschaeftsfuehrer Alexander Thamm. Nur contact@alexanderthamm.com belegt."
"ALFA AI GmbH";"https://www.alfa-ai.com/";"Ja";"• KI-Personal-Fitness-Coach als Mobile App
• Echtzeit-Bewegungs-/Uebungsanalyse per Computer Vision
• Dynamische Trainings- und Ernaehrungsplaene
• Loesungen fuer Golf und betriebliches Gesundheitsmanagement";"";"";"";"Impressum/Imprint nicht abrufbar (Server liefert 0 Bytes bzw. 503); JS-Seite, keine Daten belegbar."
"Alpha Analytics";"https://alpha-analytics.de/";"Vielleicht";"• Industrielle Datenanalyse und IIoT
• Beratung, Analyse und Programmierung datengetriebener Loesungen
• ML-/statistische Methoden fuer Produktions-/Qualitaetsdaten
• Auswertung komplexer Datensaetze inkl. Spektroskopiedaten";"Konstanze Olschewski";"info@alpha-analytics.de";"";"Impressum: vertretungsberechtigte Geschaeftsfuehrerin Konstanze Olschewski (Trager: pegov management UG). Nur info@alpha-analytics.de belegt."
"alphaspeech (alpha NT GmbH)";"https://alphaspeech.de/";"Ja";"• KI-basierte Sprachloesungen fuer Unternehmen
• Spracherkennungs-Engine, Transkription und Voicebots
• Sprachbasierte Dateneingabe (Speech-to-Form)
• Cloud, On-Premises oder Embedded, Fokus Datensouveraenitaet";"Dr. Rico Petrick";"sprich-mit-uns@alphaspeech.de; support@alphaspeech.de";"";"Impressum: Vertreten durch Dr. Rico Petrick (Geschaeftsfuehrer). Nur funktionale Mails belegt, kein persoenliches Muster."
"Alphos-Services (AKAIA)";"https://www.alphos-services.com/";"Vielleicht";"• Enterprise-KI-Infrastruktur-Plattform AKAIA
• KI-Assistenten, Workflows und Integrationen in einer Plattform
• Finetuning von Modellen fuer Unternehmensanwendungen
• Fokus geschaeftskritische KI-Anwendungen";"";"contact@alphos-services.com; bewerbung@alphos-services.com";"";"Impressum leitet auf akaia-platform.com um; kein GF-Name belegt. Mails contact@ und bewerbung@alphos-services.com gefunden."
"AMAI GmbH";"https://am.ai/";"Ja";"• Spezialisierte KI-Beratung und -Engineering
• Entwicklung von NLP-, Computer-Vision- und GenAI-Loesungen
• Von Strategie/Use-Cases bis produktiver Umsetzung
• 50+ Projekte, Branchen Automotive, Energie, Finanzen, Health, Logistik";"Dr. Juergen Stumpp";"info@am.ai";"";"Impressum: Geschaeftsfuehrer Dr. Juergen Stumpp. Nur info@am.ai belegt."
"Amber Tech GmbH (amberSearch)";"https://ambersearch.de/";"Vielleicht";"• Europaeische Business-KI-Plattform fuer Unternehmensdaten
• amberSearch (Enterprise-Suche) und amberAI (firmeneigenes GPT)
• amberAgents zur Workflow-Automatisierung, amberProjects
• DSGVO-konform, EU-Hosting, ISO 27001, 400+ Unternehmen";"Philipp Reissel, Bastian Maiworm, Igli Manaj";"";"";"Impressum: Geschaeftsfuehrung Philipp Reissel, Bastian Maiworm, Igli Manaj. Keine E-Mail-Adresse im Impressum belegt."
"Ambrosys GmbH";"https://www.ambrosys.de/";"Vielleicht";"• Loesungen fuer komplexe Systeme mit KI und Algorithmen
• Advanced AI Engineering, Datenplattformen und Apps
• Virtuelle Umgebungen, Automatisierung und Optimierung
• Fokusbranchen Energie und Mobilitaet";"";"info@ambrosys.de";"";"Impressum JS-gerendert; GF-Name nicht auslesbar. Nur info@ambrosys.de belegt."
"AMERIA AG";"https://www.ameria.com/";"Ja";"• Deep-Tech fuer KI-gesteuerte Mensch-Maschine-Interaktion
• MAVERICKAI-Geraet mit lokaler KI und touchfreier Steuerung
• STARKIT SRD (mit Sony) fuer 3D ohne VR-Brille
• Touchfree-Screens und AV-Experience-Loesungen";"";"info@ameria.com";"";"Impressum JS-gerendert; Vorstand/GF nicht auslesbar. Nur info@ameria.com belegt."
"AMEXIS GmbH";"https://www.amexis.io/";"Vielleicht";"• KI-Loesungen fuer die Produktionsfeinplanung
• Selbstoptimierendes Planungssystem als digitaler Assistent
• Engpass-Prognose, Risikokennzeichnung, Szenarienberechnung
• Ziel Liefertermintreue und Kostenreduktion";"Dipl.-Kfm. Christian Wild";"contact@amexis.io";"";"Impressum: Geschaeftsfuehrung Dipl.-Kfm. Christian Wild. Nur contact@amexis.io belegt."
"Ankercloud GmbH";"https://www.ankercloud.com/";"Vielleicht";"• Cloud-Technologie-Services und digitale Transformation
• Cloud-Migration, KI/ML, Data Engineering und Analytics
• Cloud-Security, Compliance, IoT-/Automatisierungsloesungen
• Partner von AWS, Google Cloud, Azure, STACKIT, OpenAI";"Judith Evers";"info@ankercloud.com";"";"Imprint: Geschaeftsfuehrerin Judith Evers (Managing Director). Nur info@ankercloud.com belegt."
"AONIC GmbH";"https://aonic.de/";"Vielleicht";"• AI-First Management- und Technologieberatung
• Digitale Transformation, Data & AI, Customer Experience
• Entwicklung komplexer Multi-Agenten-Systeme
• Schwerpunkte SharePoint, Cyber Security, KI";"Dr.-Ing. Gregor Bachmann, Grischa Jacobs";"info@aonic.de";"";"Impressum: Vertreten durch die Geschaeftsfuehrer Dr.-Ing. Gregor Bachmann und Grischa Jacobs. Nur info@aonic.de belegt."
"App Logik GmbH";"https://www.app-logik.de/";"Vielleicht";"• Individuelle Software-, Web- und App-Entwicklung
• Strategie/Beratung, Konzeption bis Wartung
• Technologien u.a. Flutter, React, Symfony, Django, Kubernetes, TensorFlow
• Digitalagentur in Krefeld";"Christopher Borchert";"dev@app-logik.de";"";"Impressum: Geschaeftsfuehrer Christopher Borchert. Nur dev@app-logik.de belegt, kein persoenliches Muster."
"april.eleven GmbH (Venta AI)";"https://www.getventa.ai/";"Vielleicht";"• KI-Vertriebsmitarbeiter (AI Sales Employee) fuer Europa
• Automatisierte, DSGVO-konforme Kaltakquise und Multichannel-Outreach
• Firmen-/Kontaktrecherche und Datenanreicherung nach Kriterien
• Muenchner Startup, Y Combinator S23";"";"info@getventa.ai";"";"Impressum JS-gerendert; GF-Name nicht auslesbar. Nur info@getventa.ai belegt."
"Aristander.AI";"https://aristander.ai/";"Ja";"• Dynamic-Pricing-Loesung fuer die Airline-Branche
• Deep Learning, Gaussian Processes und klassisches ML
• Vorhersage der Zahlungsbereitschaft, Echtzeit-Preisoptimierung
• SaaS mit Human-in-the-Loop bis Auto-Pilot-Pricing";"";"";"";"Website in Wartung (Servebolt 'Site under maintenance') - kein Impressum/Kontakt erreichbar."
"Artefact Germany GmbH";"https://www.artefact.com/de/";"Vielleicht";"• Globale Data- & KI-Beratung entlang der Wertschöpfungskette
• KI-Strategie, KI-Beschleunigung, operative KI, KI-Agenten für Finance/HR/Legal
• Aufbau maßgeschneiderter KI-Ökosysteme und Datenplattformen
• Eigene SKAFF-Plattform und Research Center; Partner von OpenAI, Mistral, Databricks";"Olivier Verwilghen";"hello-germany@artefact.com; andres.oksenberg@artefact.com";"olivier.verwilghen@artefact.com (rekonstruiert)";"Impressum JS-gerendert, nicht direkt auslesbar. Mails wörtlich aus dem HTML; Muster vorname.nachname@artefact.com (belegt durch andres.oksenberg@artefact.com). GF-Name aus Handelsregister/Creditsafe (Hamburg HRB 170858), nicht wörtlich aus Impressum verifiziert."
"artiquare GmbH";"https://www.artiquare.com/";"Vielleicht";"• Wandelt unstrukturierte Unternehmensdaten (Tickets, Chats, Doku) in operative Intelligenz
• IntakeOps-Plattform mit Cognitive Agentic Architecture (CAA)
• Automatisierung von Serviceprozessen, Routing und Triage
• Bereitstellung strukturierter, prüfbarer Wissensbasis für KI-Agenten";"Asaad Almutareb";"";"";"Impressum ('Represented by: Asaad Almutareb'). E-Mail auf der Seite Cloudflare-verschleiert ([email protected]) - keine Klartext-Adresse belegbar."
"arttac solutions GmbH";"https://arttacsolutions.de/";"Vielleicht";"• SaaS-Plattform AMAS für Multi-Agenten-KI-Systeme
• Tools: Meeting-Assistent, Wissensassistent, Support-Chatbots, Marketing-Assistenz
• Europäisches Hosting, DSGVO-konform, Audit-Trails, Plug'n'Play-Integrationen
• Software-Beratung, KI-Implementierung, App-/Web-Entwicklung";"Felix Meusel, Max Klein";"info@arttacsolutions.de";"";"SPA; GF aus strukturierten Seiten-Daten (JSON-LD: 'managed by Felix Meusel and Max Klein'). Nur allgemeine info@-Adresse belegt."
"AskBrian GmbH";"https://www.askbrian.ai/";"Vielleicht";"• Sicherer KI-Assistent für Berater und Business-Profis
• Über 30 Skills: Übersetzung, Finanzanalyse, Präsentations- und PDF-Hilfen, Recherche
• Zugriff über MS Teams, Web-App, Slack, E-Mail
• Fokus auf Automatisierung von Routine-Bürotätigkeiten";"Adam Conlon";"hi@askbrian.ai";"";"Impressum: 'Vertreten durch den Geschäftsführer: Adam Conlon'. Kein persönliches Mail-Muster belegt."
"AskUI";"https://www.askui.com/";"Ja";"• Plattform für agentengestützte UI-Testautomation über OS-Grenzen hinweg
• Computer-Use-Agent analysiert Screenshots und führt UI-Aktionen aus
• Produkte: Desktop, SDK, AgentOS, Hub; funktioniert auf Windows, macOS, Linux, Android, iOS
• Nutzt eigene AskUI-Modelle plus BYOM (Claude, Gemini, OpenAI)";"Jonas August Menesklou, Dominik Zacharias Klotz";"info@askui.com";"";"Imprint: 'Represented by Jonas August Menesklou, Dominik Zacharias Klotz'. Nur info@-Adresse belegt."
"Audavis GmbH";"https://www.audavis.ai/";"Ja";"• KI-Plattform für Jahresabschlussprüfung (Wirtschaftsprüfung)
• KI-gestützte Risikobeurteilung einzelner Buchungszeilen, automatisierte Arbeitspapiere
• KI-Copilot für Dokumentenanalyse, Anbindung an 20+ ERP-Systeme
• Über 40 regelbasierte Tests und eigene KI-Modelle, mandatsspezifische KI-Infrastruktur";"Philipp Roebruck, Benjamin Aunkofer, Otrek Wilke";"hello@audavis.ai";"";"Impressum: 'Vertreten durch: Geschäftsführer: Philipp Roebruck, Benjamin Aunkofer, Otrek Wilke'. Nur hello@-Adresse belegt."
"audEERING GmbH";"https://www.audeering.com/";"Ja";"• Voice AI zur Analyse menschlicher Stimmausdrücke und Emotionen
• Produkte: devAIce SDK/Web-API/XR-Plugin, AI SoundLab (Audio-Datenerfassung)
• Erfasst ~7000 akustische Parameter; proprietäre Sprach-/Audiomodelle
• Anwendung in Marktforschung, Automotive, Robotik, Gesundheit, XR";"Prof. Dagmar Schuller";"info@audeering.com";"";"Imprint (JS-gerendert, via WebFetch): Geschäftsführerin Prof. Dagmar Schuller. Nur info@-Adresse belegt."
"aurismatic GmbH";"https://aurismatic.com/";"Ja";"• Live-Music-Monitoring zur automatisierten Setlist-Erfassung und Meldung an GEMA
• Produkte für Festivals, Arenen, Clubs plus App und Analytics-Dashboard
• Live AI Recognition zur automatischen Musikerkennung
• Eigenes KI-Team (Head of AI), Mitglied im KI-Bundesverband";"";"info@aurismatic.com";"";"Legal Notice nennt keine Geschäftsführung (nur Firma, Adresse, Telefon, info@aurismatic.com)."
"AURYAL";"https://www.auryal.com/";"Ja";"• Monitoring-Layer für Physical AI (Robotik, autonome Systeme)
• Wandelt menschliche Kognition in dichte Trainingssignale / Reward Shaping
• KI versteht menschliche Kognition über Echtzeit-Neurosignale
• Ziel: aligned Reasoning und effizienteres Training physischer KI";"";"";"";"Lovable-SPA ohne serverseitigen Inhalt; Impressum/Kontakt nicht abrufbar (WebFetch 503), keine E-Mail/GF belegbar."
"automaited (aiConomix GmbH)";"https://www.automaited.com/";"Vielleicht";"• KI-Agenten-Plattform zur Automatisierung komplexer Geschäftsprozesse
• Workflow-Automatisierung, Verarbeitung unstrukturierter Dokumente, System-Integrationen
• Eigenes AI Agent Framework mit Manager- und Sub-Agenten
• 300+ Kunden, ISO 27001, DSGVO- und AI-Act-konform, Hosting in Deutschland";"Denis Golovin, Eric Marre, Alexander Schwabauer, Patrick Müller";"contact@automaited.com; kontakt@automaited.com; contact@aiconomix.com";"";"Imprint: 'Managing directors authorized to represent the company: Denis Golovin, Eric Marre, Alexander Schwabauer and Patrick Müller'. Nur allgemeine Adressen belegt."
"AutomatIQ Synergies GmbH";"https://www.automatiq-synergies.de/";"Ja";"• Software CertCheck zur automatischen Prüfung von Materialzeugnissen
• KI liest Dokumente, prüft regelbasiert gegen Normen/Bestellungen, erstellt ERP-fähige Ausgaben
• Über 98% Datengenauigkeit, revisionssicher; Sekunden statt Stunden
• Zielbranchen: Stahl, Automotive, Luftfahrt, Behälterbau";"Sven Giesler, Niklas Wölfl, Heinrich Lingemann";"info@automatiq-synergies.de";"";"Impressum SPA (JS), GF nicht aus Impressum auslesbar; Namen aus Handelsregister/Creditreform/IHK Siegen (Gründer/GF). Mail info@ wörtlich aus JSON-LD der Seite."
"avameo";"https://www.avameo.de/";"Vielleicht";"• Branchenübergreifende IT-Beratung mit Fokus Digitalisierungsstrategie
• Individuelle Softwareentwicklung, technische Architektur, Cloud/Big Data
• KI-Produkt factflow; Data-Science-Partner
• Kunden u.a. Bayer, Telekom, VW, Lufthansa";"Andreas Mertens";"office@avameo.de";"";"Impressum: 'Geschäftsführender Gesellschafter Andreas Mertens'. Nur office@-Adresse belegt."
"axio concept GmbH";"https://www.axioconcept.com/";"Ja";"• Enterprise-KI für Wissen, Dokumente und Compliance in regulierten Branchen
• KogniLink: Dokumentenautomation (Belegprüfung, ERP/LIMS-Integration)
• RAG/Gen-AI-Implementierung, auch on-premise/air-gapped; KI-Assessments
• Eigene NLP-Modelle, z.B. NMR-Spektroskopie-Vorhersage für BASF";"Marco Bürckel";"";"";"Impressum: 'Vertreten durch Marco Bürckel (Geschäftsführer)'. Keine E-Mail-Adresse auf der Website belegt."
"b.telligent Deutschland GmbH";"https://www.btelligent.com/";"Vielleicht";"• Beratung für Data & AI entlang der gesamten Datenwertschöpfungskette
• Datenstrategie, Datenplattformen, Cloud-Transformation, BI/Analytics
• Data Science & AI, MarTech, Managed Services
• Technologieoffen; Kunden u.a. Commerzbank, Otto Group, ProSiebenSat.1";"Sebastian Amtage, Klaus Blaschek, Kai Kalchthaler";"info@btelligent.com; sales@btelligent.com";"";"Impressum: 'Geschäftsführer Sebastian Amtage, Klaus Blaschek, Kai Kalchthaler'. Nur allgemeine Adressen belegt."
"baitechdata (Baitech Data)";"https://baitechdata.de/";"Vielleicht";"• Beratung für datengetriebene Transformation
• Data Analytics, KI-Lösungen, Softwareentwicklung, Prozessoptimierung
• Supply-Chain-/Logistik-Optimierung, CO2-Datenanalyse
• Arbeitet mit Tableau, KNIME, Power BI u.a.";"Matthias Rothfuchs";"willkommen@baitechdata.com";"";"Impressum: 'Vertreten durch: Matthias Rothfuchs'. Kontaktmail willkommen@baitechdata.com (.com)."
"Bartz & Bartz GmbH";"https://www.bartzundbartz.de/";"Vielleicht";"• Beratung für KI und Data Science, seit 2014
• Entwicklung individueller ML-/KI-Lösungen, Predictive Maintenance
• Datenanalyse/-visualisierung, Statistik, Simulation, DS-GVO-Beratung
• Branchen: Energie, Industrie, Gesundheit, Finanzen u.a.";"Eva Bartz";"info@bartzundbartz.de";"";"Impressum (JS-gerendert, via WebFetch): Geschäftsführerin Eva Bartz. Mail als 'info [at] bartzundbartz.de' verschleiert -> dekodiert."
"BavMind UG (haftungsbeschränkt)";"https://bavmind.com/";"Vielleicht";"• Bayerisches KI-Startup für B2B-Produkte und UX/UI-Design
• Entwickelt Agentwise: self-hosted KI-Plattform für Unternehmen
• Verbindet bestehende Systeme, versteht Unternehmenswissen, führt Aktionen aus
• Kleines Team mit Fokus auf produktionsreife, praktische KI-Lösungen";"";"";"";"React-SPA ohne serverseitigen Inhalt; /impressum liefert 404/leer, keine GF/E-Mail belegbar."
"beebucket GmbH";"https://www.beebucket.ai/";"Ja";"• Maßgeschneiderte KI-Lösungen und intelligente Automatisierung
• Schwerpunkt Computer Vision, Machine Vision und IoT-Analytics
• Plattform AI-Hub Core für Datenraum-Management
• Edge-, Hybrid- und Cloud-Deployments";"Florian Mauer-Endler";"hello@beebucket.ai";"";"Impressum: 'Managing Director: Florian Mauer-Endler'. Nur hello@-Adresse belegt."
"Benthos gGmbH";"https://www.benthos.ai/";"Vielleicht";"• Gemeinnützige Dateninfrastruktur für gemeindebasierten Küstenschutz
• KI-Assistent (Coastal Assistant) zur Strukturierung von Umweltbeobachtungen
• Conversational Chat-Interface für lokales Wissen
• Standorte Berlin und Rio de Janeiro";"Francielly Monteiro (Geschäftsführerin)";"info@benthos.ai";"";"Nur generische Mail info@ im Impressum belegt; keine persönliche GF-Mail, kein Muster."
"BettercallPaul (bcxp)";"https://bcxp.de/";"Ja";"• Individuelle Softwareentwicklung
• Machine-Learning- und Data-Science-Lösungen
• Consulting für Unternehmenskunden
• Fokus auf maßgeschneiderte, kundenspezifische Anwendungen";"Thorsten Feuerabend, Ute Nause, Dr. Michael Dirksmöller, Alexander Jost, Benjamin Weinhold";"sayhi@bcxp.de";"";"Nur generische Mail sayhi@ belegt; kein persönliches Muster."
"Birds on Mars GmbH";"https://www.birdsonmars.com/";"Vielleicht";"• KI-Beratung aus Berlin (seit 2017)
• KI-Strategie und Identifikation von Anwendungsfällen
• KI-Engineering inkl. Architektur, Modelltraining und Produktivbetrieb
• Schulungen und Responsible-AI-Ansatz";"Florian Dohmann, Leonard Tröder, Dr. Ulrich Vornefeld";"flywithus@birdsonmars.com; florian.stark@birdsonmars.com";"florian.dohmann@birdsonmars.com (rekonstruiert)";"Muster vorname.nachname@ aus florian.stark@ belegt; GF-Mail nach Muster rekonstruiert. Firma jetzt Teil der [at] Gruppe."
